Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
569,Jake Rogers,28,365,DET,-3,-0.3,371,-0.5,5.8,-6.3,0.91,-0.1,-0.4,-0.20%,1.50%,-1.70%,0.42,-0.30%,-5.7,-0.6,0.94,-7.2,1.92,2,rogerja03
570,Johan Rojas,22,164,PHI,1.9,0.2,183,0.1,3.5,-3.4,1.26,0,0,-0.10%,1.40%,-1.60%,0.94,-0.10%,4.8,0.5,1.02,2.6,1.85,4,rojasjo03
571,Josh Rojas*,29,350,TOT,-8.8,-0.9,368,-1.1,5.1,-6.3,0.98,-0.5,-0.6,-1.00%,4.90%,-5.90%,1.52,-0.40%,-0.8,-0.1,0.97,-5.9,2,10,rojasjo01
572,Josh Rojas*,29,216,ARI,-9,-0.9,224,-0.4,3,-3.5,0.95,-0.7,0.2,-0.40%,2.10%,-2.50%,1.11,0.10%,0.6,0.1,0.95,-6.8,1.53,4,rojasjo01
573,Josh Rojas*,29,134,SEA,0.2,0,144,-0.7,2.1,-2.8,1.03,0.2,-0.9,-0.70%,2.70%,-3.40%,2.15,-0.50%,-1.4,-0.1,1.01,0.8,2.31,6,rojasjo01
574,Miguel Rojas,34,423,LAD,-18.8,-1.8,439,-1,5.5,-6.6,0.89,-1.2,0,-0.60%,3.20%,-3.80%,0.88,0.00%,-18.5,-1.8,0.95,-15.9,1.11,9,rojasmi02
575,Brent Rooker,28,526,OAK,19.6,1.9,535,0.4,9.3,-8.9,0.97,1.3,-0.9,0.30%,0.70%,-0.40%,0.09,3.10%,6.6,0.7,0.92,16.8,0.93,12,rookebr01
576,Ben Rortvedt*,25,79,NYY,-6.9,-0.7,79,-0.7,0.6,-1.3,0.81,-0.7,-0.2,-0.20%,0.10%,-0.30%,0.32,-0.20%,-8.5,-0.8,0.89,-7.7,1.76,1,rortvbe01
577,Amed Rosario,27,545,TOT,-8.9,-0.9,567,-1.2,9.2,-10.4,1.05,-1,-0.2,-0.70%,4.50%,-5.20%,0.85,-0.30%,-6.6,-0.7,0.97,-10.4,1.44,13,rosaram01
578,Amed Rosario,27,412,CLE,-6.4,-0.6,426,-1.3,7.2,-8.5,1.11,-1,-0.2,-0.80%,3.70%,-4.50%,0.97,-0.20%,-4.1,-0.4,0.95,-9.1,3.65,4,rosaram01
